 x , y , z , u , v , p 
0.00666667 , 0.333333 , 0 , -0.000770508 , 0.0295563 , 0.0356697
0.00666667 , 0.34 , 0 , -0.000750648 , 0.0309585 , 0.0349983
0.00666667 , 0.346667 , 0 , -0.000727426 , 0.0323244 , 0.0342916
0.00666667 , 0.353333 , 0 , -0.000701025 , 0.0336484 , 0.0335518
0.00666667 , 0.36 , 0 , -0.000671651 , 0.034925 , 0.0327814
0.00666667 , 0.366667 , 0 , -0.000639524 , 0.0361492 , 0.031983
0.00666667 , 0.373333 , 0 , -0.000604879 , 0.0373163 , 0.0311595
0.00666667 , 0.38 , 0 , -0.000567957 , 0.0384219 , 0.030314
0.00666667 , 0.386667 , 0 , -0.000529008 , 0.0394622 , 0.0294496
0.00666667 , 0.393333 , 0 , -0.000488288 , 0.0404337 , 0.0285697
0.00666667 , 0.4 , 0 , -0.000446052 , 0.0413332 , 0.0276774
